Combined Extraction Report for Page 3
Source: C:/Users/reem_/Desktop/commonARBoard/UserManualPerDemo/Nucleo-F767ZI-Schematic.pdf
Includes 0deg, 90deg CW, 45deg CCW passes.
--------------------------------------------------------------------------------
Label           | Type  | Conf  | Found @  | Center (x,y)
S               | ?     | 0.54 | 45_CCW   | (9138, 1556)
O               | ?     | 0.54 | 0_deg    | (6772, 3166)
O               | ?     | 0.54 | 45_CCW   | (3225, 3468)
S               | ?     | 0.54 | 45_CCW   | (11261, 8764)
O               | ?     | 0.53 | 0_deg    | (5904, 7378)
C               | ?     | 0.53 | 45_CCW   | (10896, 306)
Q               | ?     | 0.53 | 45_CCW   | (12579, 9144)
O               | ?     | 0.53 | 45_CCW   | (5576, 3096)
O               | ?     | 0.53 | 45_CCW   | (11957, 5760)
SBSIL           | ?     | 0.53 | 0_deg    | (1153, 6724)
S               | ?     | 0.53 | 45_CCW   | (10979, 8952)
Q               | ?     | 0.53 | 45_CCW   | (4406, 7011)
O               | ?     | 0.53 | 0_deg    | (693, 1682)
S               | ?     | 0.53 | 45_CCW   | (4178, 689)
S               | ?     | 0.53 | 45_CCW   | (11294, 315)
5               | ?     | 0.53 | 90_CW    | (12056, 1483)
Q               | ?     | 0.53 | 45_CCW   | (4406, 7754)
S               | ?     | 0.53 | 45_CCW   | (11683, 5760)
5               | ?     | 0.53 | 0_deg    | (7732, 1278)
5               | ?     | 0.53 | 0_deg    | (13058, 2527)
SC              | ?     | 0.53 | 45_CCW   | (7807, 3587)
VV              | ?     | 0.53 | 90_CW    | (12043, 3898)
S               | ?     | 0.53 | 45_CCW   | (1261, 8737)
S               | ?     | 0.53 | 45_CCW   | (988, 8737)
5               | ?     | 0.53 | 0_deg    | (8443, 5243)
I               | ?     | 0.53 | 90_CW    | (14096, 8763)
5               | ?     | 0.53 | 0_deg    | (7990, 5243)
C               | ?     | 0.52 | 45_CCW   | (3791, 8359)
O               | ?     | 0.52 | 45_CCW   | (4583, 4328)
S               | ?     | 0.52 | 45_CCW   | (11555, 6881)
S               | ?     | 0.52 | 45_CCW   | (10844, 8759)
N               | ?     | 0.52 | 45_CCW   | (3344, 7870)
O               | ?     | 0.52 | 45_CCW   | (11606, 433)
C               | ?     | 0.52 | 0_deg    | (11343, 9145)
N               | ?     | 0.51 | 45_CCW   | (11528, 5519)
S               | ?     | 0.51 | 45_CCW   | (2409, 1930)
O               | ?     | 0.51 | 45_CCW   | (4583, 4409)
D               | ?     | 0.51 | 0_deg    | (13820, 529)
5               | ?     | 0.51 | 45_CCW   | (6513, 3283)
S               | ?     | 0.51 | 45_CCW   | (9827, 1434)
EF              | ?     | 0.51 | 90_CW    | (11064, 1517)
S               | ?     | 0.51 | 45_CCW   | (11419, 5765)
S               | ?     | 0.51 | 45_CCW   | (10142, 7243)
NC              | ?     | 0.51 | 45_CCW   | (10893, 2104)
S               | ?     | 0.51 | 45_CCW   | (10142, 6748)
33              | ?     | 0.51 | 90_CW    | (11230, 3903)
G               | ?     | 0.51 | 0_deg    | (11554, 5647)
E               | ?     | 0.51 | 90_CW    | (12056, 1078)
NC              | ?     | 0.51 | 45_CCW   | (12278, 624)
H               | ?     | 0.50 | 90_CW    | (6166, 3537)
H               | ?     | 0.50 | 90_CW    | (10134, 5395)
C               | ?     | 0.50 | 45_CCW   | (12166, 5757)
C               | ?     | 0.50 | 45_CCW   | (12366, 3820)
N               | ?     | 0.50 | 45_CCW   | (2972, 2790)
T               | ?     | 0.50 | 90_CW    | (11064, 1043)
N               | ?     | 0.50 | 45_CCW   | (7945, 1861)
